commodity,trend_side_label,hist_n_episodes,hist_n_ended,hist_n_censored,hist_overextended_rate,hist_mean_active_duration,hist_median_active_duration,hist_q25_active_duration,hist_q75_active_duration,hist_mean_duration_to_end_signal,hist_median_duration_to_end_signal,hist_duration_reliability
AG,UP,167,167,0,0.20359281437125748,5.850299401197605,1.0,1.0,3.0,4.88622754491018,0.0,HIGH
AG,DOWN,177,176,1,0.0903954802259887,3.824858757062147,1.0,1.0,2.0,2.8125,0.0,HIGH
CF,DOWN,114,113,1,0.14912280701754385,6.2105263157894735,1.0,1.0,3.75,5.247787610619469,0.0,HIGH
CF,UP,133,133,0,0.14285714285714285,7.609022556390977,1.0,1.0,6.0,6.7368421052631575,0.0,HIGH
EB,DOWN,72,71,1,0.375,6.222222222222222,5.0,2.0,8.0,6.169014084507042,5.0,HIGH
EB,UP,61,61,0,0.4426229508196721,6.852459016393443,5.0,3.0,9.0,6.836065573770492,5.0,HIGH
FG,UP,103,103,0,0.4174757281553398,6.553398058252427,5.0,3.5,8.0,6.533980582524272,5.0,HIGH
FG,DOWN,101,100,1,0.37623762376237624,6.564356435643564,5.0,3.0,9.0,6.6,5.0,HIGH
LH,UP,87,86,1,0.08045977011494253,4.080459770114943,1.0,1.0,3.5,3.104651162790698,0.0,HIGH
LH,DOWN,99,99,0,0.37373737373737376,5.737373737373737,1.0,1.0,3.5,4.767676767676767,0.0,HIGH
M,UP,75,75,0,0.38666666666666666,11.293333333333333,7.0,2.0,17.0,10.92,7.0,HIGH
M,DOWN,67,67,0,0.31343283582089554,12.701492537313433,10.0,4.0,17.5,12.462686567164178,9.0,HIGH
MA,UP,155,155,0,0.16129032258064516,6.025806451612903,1.0,1.0,4.0,5.083870967741936,0.0,HIGH
MA,DOWN,92,91,1,0.17391304347826086,8.08695652173913,1.0,1.0,9.25,7.263736263736264,0.0,HIGH
SA,UP,43,43,0,0.3023255813953488,10.511627906976743,8.0,1.0,15.5,10.069767441860465,7.0,MEDIUM
SA,DOWN,41,40,1,0.34146341463414637,14.853658536585366,10.0,6.0,19.0,14.55,10.0,MEDIUM
SP,DOWN,77,76,1,0.38961038961038963,6.428571428571429,5.0,3.0,8.0,6.473684210526316,5.0,HIGH
SP,UP,73,73,0,0.4246575342465753,6.178082191780822,5.0,3.0,8.0,6.164383561643835,5.0,HIGH
SR,UP,197,197,0,0.07106598984771574,4.096446700507614,1.0,1.0,2.0,3.1269035532994924,0.0,HIGH
SR,DOWN,216,216,0,0.06944444444444445,3.537037037037037,1.0,1.0,1.0,2.5416666666666665,0.0,HIGH
V,UP,76,76,0,0.19736842105263158,10.973684210526315,7.0,3.0,15.0,10.56578947368421,7.0,HIGH
V,DOWN,69,68,1,0.21739130434782608,11.927536231884059,10.0,3.0,16.0,11.470588235294118,9.0,HIGH
